video_id,comments
NB5LGzmSiCs,"['Well articulated and easy to understand.  Great work and thx:)', 'Great explanation! I originally misunderstood, and oversimplified. This helped straighten out both problems. Excellent channel, by the way!', 'Hi. Piękna z Ciebie młoda ""psiorka"" może się poznamy kiedyś?', 'Hi,mariyasha', 'Very Well explained ', 'Nice video. How long have you been practicing code/python?', '#russiaterroriststate!Glory To Ukraine! UA UA UA', 'Thanks for this Mariya!!! 😍', 'Your beauty is distracting! 😍😍😍', 'No understand sorry']"
P7NbYXCvxtA,"[""to differentiate between when to code is imported as a module or ran directly (only then the main is interoreted).  Been playing with this for a while but the prg i import gets null character at the end of the file so the interpreter stops.  It's as if the imported module dont get closed correctly.  Still searching why .  Regard's"", 'You are amazing, and thanks for share your knowledge!', 'Хороший вопрос!', 'You should make a video about weird feature in python.. ""while... else"" statements.', ""It's used to ensure that the file is only executed when you specifically run that file. The python interpreter checks for the name of the file you asked it to run and compare the file it is actually running.. and if those two matches then your code after the if statement executes. It is useful when you don't want your specified code to be executed when some other file import and access your file. I tried to explain it at my best. I'm no teacher and programming concepts are hard to explain."", 'lets get smarried', 'I am ready , my bitch. How are you doing?', 'Hi beautiful', ""i watch many video talk about this but i dont know where's the importance"", ""I wish to avoid this name/main line totally.....!\nin fact, I hope there's nothing I would like to do that the line must be required?""]"
1xukOX3gBE4,"['Beautiful logic', 'Respectfully Maria, could you share any info about pytest and variation between them 🤔', 'Hey Maria, just want to tell you happy Thanksgiving', '""Don\'t Have A Good Day,\nHave A Great Day!""', 'rule no 3, :(((((\nbut... all rules actually :"")', 'When does a developer become a senior developer? After starting to care about writing (unit,  integration) tests 🤪', 'This seems very powerful. Adding antifragility and skin in the game to your code. \n\nTackling complexity and chaos by trials and mistakes, which usually is faster than deliberately thinking about all the possible outcomes.\n\nCan we do it fast enough to mimic genetic algorithms, but for code delivery?', ""It's like game development"", 'we literally had tdd practical today, wtf...']"
ibVSPVz2LAA,"['Unit tests should never duplicate code or test inputs prior to the code running.  The code should validate the input.  The unit test should only test a known input vs. a known result, generally to highlight a corner case like the end of the alphabet in the Cesar Shift', 'Thanks Mariya. Great video, as always! I appreciate the step by step approach. Not only is it good for learning unit testing, but development as well! :)', 'Could we spare the ""if-else"" and make it branchless with modulo?', ""Enter your secret message: banana\r\nEnter your secret code: -100\r\noutput: 76i6i6\nis this answer correct\nI don't know but this video help me solve so many problems"", 'I landed a segfault!  woohoo!', 'как же много русского акцента))', 'https://drive.google.com/file/d/1ocd9KNNO7QCPt2HjIpBO-5ULfI5-8oNj/view?usp=share_link   I had to see if ChatGPT could solve this relatively simple algorithm. It went the ord() route, but it fails on negative shifts and shifts outside the length of Unicode (doesn\'t wrap). Its explanation is also wrong as it says non alphanumeric characters will not be shifted, but they are by the program. I\'ve found something like ""encrypted_message += abc[(abc.find(char) + shift) % len(abc)]"" is concise and works nicely for positive shifts, negative shifts, and shifts larger than the set of characters you use (ie it wraps).', 'She is so awesome', 'all your videos are perfect but this...i am sorry but you look like explaining to yourself without clarifying things to viewers', 'Very useful !!! Thank you so much !!! 🙂']"
YfZqVmWq33o,"['🎉🎉 do you like coffee? What kind of coffee you’ve been drinking? I forgot your name.', 'What are you dressing up for Halloween? \nAnd are you dressing the cat up a little football?', '\U0001fae3', ""I'm afraid 😬"", 'trick or treat 🎃', 'Spooky much']"
o2FVs7DEP0c,"['I’m learning Solidity at the moment, but you make me want to jump back into python.  Moreover, you make me want to jump in your DMs lol.  Nonetheless, python is awesome :)', 'Your work is so good, keep it up. From India Asia', 'Vancouver...expensive? How about relocating to Sydney? 😉', 'idea for another tutorial ... build simple Chrome extension (simple special wiki) ... you choose the word on website and the extension show short explanation... with Python core, then pyjs convert to JS ... hm?', 'If you don’t mind, could you please provide me with your email address? I would love to send my python file to you in order to ask your opinion about it. Sincerely.', ""Hi there! \nHow's it going?\nCan you tell me what is your email address in order to send my python file to ask your opinion ?"", 'I missed this stream but please do more!!! Love your personality and channel', ""Bonjour:)\nCould you tell me anything about web scrapping restriction for number results for example I know one function it's called retmax  only for pubmed❓❓❓"", 'Hello from Poland.', 'aww I missed the stream. Wow very good green/blue screening. hehehe']"
wmalqABbkXU,"['Heck yeah. Now we just need coinbase to go opensource and work towards being decentralized in some manners lol', 'it\'s a scam, baby. Avoid it. The real one is government created digital money. It\'s part of the surveillance & fascist police state they are creating. Good for psy-ops too. Don\'t forget, police benefit from 9/11. They get permanent ""upgrade"".', ""This was super informative, delving into deephaven right now. Do you think you will make a follow up on deephaven? I'm a bit confused why there are so much talk about using it in combination with kafka? Wouldn't websocket suffice? I'd be interested how deephaven is combined with kafka and or how to feed websocket streams directly into deephaven. Thanks again!"", 'Exactly what i was looking for ty', 'You are Amazing..', 'thanks for the video\n\nGreetings from Colombia', 'thanks for sharing.', 'Great tutorial Is it just a little hard to concentrate since you are so gorgeous.!', '22:15 My dream data source would be historical forex pair tick data including time, bid, ask, and volume for the 28 major fiat currency pairs. My dream platform for analyzing it is evolving and I am in the middle of seeing if I can get pandas and/or numpy to assist my implementation of it.', '@Pythonsimplified: \n\n""I\'d love to talk to you personally. Would you send me your phone number, please?"" And also, “If you don’t mind, could you please send me your email address?” \n\nIs anyone available to chat?']"
080kzsRv5UI,"['Folks, the tutorial is out! you can find it here:\nhttps://youtu.be/wmalqABbkXU', 'Awesome', 'You are my waifu :3 but you don’t know that', 'Can you do one with stocks?', 'Tysm!', 'Hi iam a sub. I have dought about deployment of ml model and deployment it in any robot', 'Look at that ring! So posh', 'Que hermosa estás 😍', 'Cant Wait...', ""😭 where this video I'll can look?""]"
tZ1znMV-aXY,"['hey angel...hii', 'luv u🥰🥰🥰🥰🥰', 'PERFECT ...', 'such a good session we have got a lot to learn.', 'Plz make video on Pyserial', 'Very nice. Thank you!', ""I have two lists one stores urls and another one stores folders \nI want to store data from each url in specific folder from the list \nAm not talking about how to grab data from the url all i want is how to deal with the two lists and assign each folder to a url \nI tried somethings with the for loop but didn't get it to work\nHelp"", '😘', 'Thank you guys <3', 'Fantastic! Thanks so much for this! :)']"
gKrRr8T6i08,"['AI Development rejoices!!', 'I\'m running GTX 950 😐 Not funny 😑 My next ""upgrade"" is GTX 1070. Love your smile though 😊', ""As frustrating as it can be sometimes, I got my sapphire rx590 SE back in 2020 when it was a budget king for like 150. Aside from the driver issues and performance eating relive it's been a great midrange card from the 8th-9th gen years."", 'Should get two in a hox', '😍', 'That smile 😘', 'Damn...😅', 'Time to build new machine, but what do you think about nvidia jetson nano for image processing?', 'now we know why there are chip shortages. \n\nall the chips are on one stick. \n\nwonder how much a stick like that would cost? 🤔', 'my GPU is outdated like 10 years ago lol']"
uDnm7nlodDk,"['1:34:12 megan fox is a man.', '1:20:48 Javascript for web and C# for desktop and games.', 'nice video', 'God, she is an incredible human being', 'You are cute Mariya. Will one day meet you', 'This is great for me', 'Thanks Mariya...your videos are great.', 'Hello Maria, \nI have question is there any way to remove printed string in backwards for example loop prints characters in this way ------------------------------>\nis there any way to return to <------------------------- without mirror effect or(reverse)\nat the same position \nfirst it goes ---------------------> then returns <--------------------- and then prints new string', 'I saw Django tutorial Maria ...that was superb 🙏🙏🙏🙏🙏', 'I was rather hoping that it would be possible to open another instance of soft soft VST in rewire and drag stuff from one to another but']"
7Iv6MRRdw5E,"['Yeah, she did wink.', 'Adorable', ""Hello after python,we need tyme to relax 😄😄😄.\nAm your student but i don't ywhy its doesn't come first 🤔🤔"", ""actually this channel should have been almost 1 - 2 million subscribers because of her teaching methods being just a 13 year old kid i don't know about teaching but the older ones know i love  how she makes any topics simplified."", 'picture of happiness', 'I guess python is really simplified.', 'Hey maria i had a problem in adding scrollbar to my tkinter project can you please help me out, is there any way to send you my project?\nBtw love your content keep going🥰🥰', '<3', 'Breed name ?', 'Ummhmm cute dog 🥰❤️']"
HjZ2xfRwHGI,"['Thank you', 'I was not able to join i saw the whole stream again', 'Meow...  Wow🙃❤️', 'Narcissism, much?', 'Love the content. Would have liked a bookmark for the twatter bit. :)']"
EEiqGjCNLRs,"['Why do you put a forward slash after the variable you defined, which was called in the path method?', 'My Django app displays correctly on http, but on https it displays the IndexOf all files. I feel like I have tried everything . Please help!', 'you are an excellent teacher and incredible human', 'Question... Do you have any online course of Django? For beginners?', 'very nice explanation! thank you', 'Thank you for simplifying Python 💯🤙🏾\nAwesome content. Can you please do one on Django and MongoDB? 😊👊🏾', 'I think it would be great if you used the visual code editor', 'yo yo yo', 'Create a script to set it up this?', 'yo yo yo. nice tutorial']"
Xa9qIp6JCMI,"['... Where\'s the ""NEXT"", it was so well explained', 'please post more shots,its really helpful', ""It's cool you have the same password as me!"", 'Python in only 2 lessons? What a great language.', 'Link to part 3 ?', 'Wouldn’t expect a python YouTubers to live in the same city as me!', '👍', 'Thank you', 'I am not able Listen this  video😭😭😭😭 Because of your cuteness 😍\nTake This ❤️❤️❤️❤️', 'Maria 😍🥺']"
SDVyGPDYgDE,"['You are the Best!', 'You are very beautiful.', 'Continue this series!', 'Thank u,', ""What abour nonetype I'm really confused how to use this type"", 'Keep going 😍👍🏻👍🏻', 'I love your videos, keep up the great work 🔥❤️🔥', 'Супер. Має вистрілити як ракета 😉', ""How do we know that you're in shorts if you're all the time seating... should we just believe you like we do in your knowledge?!?!"", 'do you have courses that i can enroll?']"
Otr6BW-uKFs,"['Весело и прикольно :)', 'Any Python experts can help me? Supposedly the below recursive function has a bug, but I have not been able to locate it. The results I get are 3, 10, and 24. \n\ndef count_users(group):\n\n  count = 0\n  for member in get_members(group):\n    count += 1\n    if is_group(member):\n      count += count_users(member)\n  return count\n\nprint(count_users(""sales"")) # Should be 3\nprint(count_users(""engineering"")) # Should be 8\nprint(count_users(""everyone"")) # Should be 18', '☺️', ""When I learned to program colleges required ASM and C before you could move to higher level languages. The reason was it required you to understand how the computer worked at the fundamental level more so. I've been programming now for 38 years. What I found over the years is I have had to let go or retrain lots and lots of programmers. Most of those were learned later on programming where the started out with python or java. The reason why is simple. They never took the time to actually step back and really learn what was going on under the hood.\nI'll give you an example to emphasize why it is important. A while back I wrote an program to make really really large dungeons for a game. 40,000 room map. I was able to get it to do it in 1 second.\nI wrote it in C++. Turning on compiler optimization alone didn't net a lot. What did was understanding how the program would fit in the processor how the processor would run each instruction. The way different patterns such as sorts and other stuff work at the core level. Even in C++ the initial test program would have take more than a day to complete. Now imagine how slow it would be in python. I broke the program into blocks the processor could handle in its cache. Then gave it a sorting system that reduce 90% of the work for the type of load it had to deal with in creating paths for all the rooms to be connected together. That's 40,000 random sized rooms random positions you can't place on top of one another, 40,000 connections that can't run through or over one another and have to be random.\nSo I went from a days processing time down to several seconds of time and then I was able to make fully use of compiler optimization and reduce it on a 3ghz system one thread to 0.9 seconds.\nThese days in C/C++ I can multi-thread it because of the way it is designed and get about 90% more per each core.\n\nPython is a lot like this in many ways. If you don't understand how the tool you are using works underneath you can't really select the best one for the job. What you end up doing is maybe trying several methods. But a good programmer looks at the task recognizes the pattern and can simply select the best tool for it.\nDifferent sorting algorithms for example perform better or worse in comparison to one another depending on the size of the data set. One may take longer to instantiate but handle really large datasets fast. While another can be started really fast but anything other than a small data set starts taking much longer to run through.\nThe point is not knowing how the underlying works means you are limited to trial by error to get the best results."", 'The way you look at your fingers when you count with them is so cute LMFAO 🐇', 'Mam Please suggest me. And give  assignments for practice the Python topics . And Python projects also which we show in resume.', 'Mam ,I am from India I have learned basic fundamentals of python ,And I want to learn AI ,Please suggest me Mam in python which topic we will have to start to read in Python before AI.', 'Mam,please solve any Python project for beginners level to intermediate level that we can shoe in our resume.', 'Imma work like shit on that ai', ""I didn't even know of the zip() function.\n\nSpeaking of a different kind of zip, I was able to install external modules for python manually (pip and other methods were not working for most of them), by simply renaming the .whl files to .zip and extracting them to the Lib\\site-packages directory.""]"
vNwQTzM2l_c,"['What a perfect woman 👩,  love your tuts and personality', 'The slight awkwardness makes this an excellent short! 😁', 'Lil doggo!', '😍 looks like German shpic', 'I love u', 'You are amazing', 'you beautiful :*', ""Sometimes the bloopers Mariya are the best. It's nice to see you away from the computer every now and then."", 'Looks like Port Moody?', 'OMG! 😍']"
khCzymLy_QE,"['In the DNA example, to simplify the code, I would create a dictionary:\n   pair = {""A"":""T"", ""C"":""G"", ""G"":""C"", ""T"":""A""}\nThen, instead of the nested if statements, do\n   dna = {key:[val, pair[val]] for (key, val) in enumerate(strand1)}', 'You should have used ""secrets"" instead of ""random""!!!!', 'Thanks 😊', '19:40 mariyasha888, ohh, i love that number, 888. Lucky number.', 'Uau! Amazing!', 'angel reply me atleast once', 'your all videos are very very useful 👍', ""Is really your voice I am just start your python tutorial and is help me to understand it. But your voice is like a bot or more likely robot \n\nRest I am confused with python becut practice with csv or xlsx file . \nI can't use set or dictionary function \nCan you help me with it"", 'Mariya, you can turn the password generator into a function call. And I also added a UID function as well. Great tutorial though. Thanks so much!', 'I feel the comprehension with the range function is faster🙃🙃.. cos range functions has less work load to perform than the Zip method.🤔']"
H6SUfuBobh4,"['Nice', 'Simprehension 😘💗', '<3 \nRelated with this. How you can call and api and after that add a item to that (t doent exist in the api) with attributes and create a combobox with all items?', 'U R A Q T', 'I love it!', 'Great Sunday // (21) --Installing peace. Finally My personal PYteacHER', 'Yeah but shorts though o.o', 'Counting the hours :) Already sunday here, where is the video :D :)', 'just say (fush)💨💨 🤗', 'Thanks a lot 🙏']"
9K4pkmM-EUk,"[""Go against the flow, say no to shorts and... um, I don't know - wear a skirt? We're talking about clothes right...?"", 'I think you are allergic to that brand of Maskara !,  but agree would be great to see you in shorts?', 'Maybe if you cover some Python tricks in in very short and funny way it will be good, anyway your shorts still funny as hell.', ""I'm watching it. The fact this short has so many likes is proof that people are watching it. Guess why !?\n'Cause you're really good at what you're doing and you keep it fun. We like that !"", 'I’m watching, all right! But what kind of car is that? Seems to have windows in the back. 🤔', 'cause you are eye candy...', 'I thought you was talking about the clothing shorts lol till you mentioned the word video and youtube lol', ""Youtube Shorts have their place, not quite sure where, but I'm sure they do... \nin terms of coding, I'm not against very short videos explaining something simple, but am not a huge fan of the medium."", 'Most beautiful Python girl', 'Can you make a python program to edit your videos into shorts for you?']"
bIxezhejGo0,"['CS50X, CS50P, and CS50W are some good courses that are free, unless you also want a verified certificate. X is introductory to CS concepts and covers everything from Scratch to C to Python to HTML/CSS/JavaScript. P is Python focused. W is web development using Python, Django, and MySQL. There is a game development and an AI course too.', ""If you don't show the Cat during your video, he will be deeply offended 😆"", 'this was dope! thanks mariya', 'I would suggest and ask for a video about the new framework called FLET :)', 'I love you 💕 Mariya!', 'Come and be my personal teacher for Python.', 'When will you teach the Django framework', 'Let me ask how long did it take for you to master python', 'Data structures and algorithms tutorial please in Python', 'Hi Mariya just starting out and your content is so helpful']"
