video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
NB5LGzmSiCs,Python Simplified,"If __name__ == ""__main__"" for Python Developers","If name equals main - then we run our programs! 
But do we actually understand what is __name__ , what is __main__ and most of all - why do we need to check if they match? 🤔🤔🤔
I've prepared this very special tutorial that dives deep into each component and demonstrates it thorough simple code examples. By the end of this video - you'll be able to explain this expression in your own words (!!!) as well as other terms like ""module"" and even ""top level code"" 😉

⏰ TIME STAMPS ⏰
------------------------------------------
00:00 - Intro
00:29 - What is __name__
00:59 - What is module?
01:34 - Top level code vs imported code
03:35 - What is __main__
05:08 - Find the value of __name__
05:55 - Why do we need to check if name == main
08:08 - Thanks for watching!

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

🎯 Sources 🎯
--------------------------------------
⭐ Python Documentation:
       https://docs.python.org/3/library/__main__.html

💳 Credits 💳
----------------------
⭐ Beautiful animated graphics by:
       mixkit.co
⭐ Beautiful icons by:
       flaticon.com",,2022-11-27T15:30:05Z,236180,9861,,519,PT8M47S,hd,true
P7NbYXCvxtA,Python Simplified,Ready for my next tutorial? #shorts #python,,,2022-11-26T19:59:50Z,16665,1190,,61,PT49S,hd,false
1xukOX3gBE4,Python Simplified,The Three Rules of Test Driven Development #shorts #programming #coding #computerscience,,,2022-11-09T19:28:53Z,5169,337,,11,PT1M,hd,false
ibVSPVz2LAA,Python Simplified,Python TDD Workflow - Unit Testing Code Example for Beginners,"In this tutorial we will play the game of unit testing! 🎮🎮🎮
To do so - we will learn a brand new coding workflow, implementing a set of programming principles known as Test Driven Development.
I will introduce you to the Three Laws of TDD (also known as the Three Laws of Uncle Bob) and show how to write a piece of software unit by unit, test by test, 2 minutes at a time! ⏱️
The end result is not only a cool encryption algorithm known as Caesars Cipher - but also a series of unit tests that ensures its accuracy and reliability.
In the very end - I also have a 🏆 CHALLANGE 🏆 for you! So make sure you tune in at minute 23:10 to participate and practice your new set of skills! 💪

⭐ CLONE MY CODE ⭐
-----------------------------------------
https://app.wayscript.com/lairs/45150c67-1bd6-487b-940f-cc60bb6093de/public/

Also, please feel free to revise it and reshare your versions with the world!
Quick instructions of how to do this via Wayscript at minute 23:50

🚀 JUPYTER SYNTAX 🚀
-----------------------------------------
unittest.main(argv=[''], verbosity=2, exit=False)

📽️ RELATED TUTORIALS OF MINE 📽️
-----------------------------------------------------------------
⭐ Classes and OOP:
       https://youtu.be/f0TrMH9s-VE
⭐ Inheritance and Private Class Members:
       https://youtu.be/6c6NYPjO_rI
⭐ If __name__ == ""__main__"" for Python Developers:
       https://youtu.be/NB5LGzmSiCs
⭐ List Comprehension:
       https://youtu.be/SNq4C988FjU
⭐ Software Design and Development Exam Practice Stream:
      https://youtu.be/uDnm7nlodDk

⏰ TIMESTAMPS ⏰
-----------------------------------------
00:00 -  Intro
01:19 - Three Laws of TDD
-----------------------------------------
TEST 1 - Test Data Exists 
-----------------------------------------
02:07 - Basic syntax
03:59 - Jupyter Notebook syntax
04:30 - Assertion
06:28 - Production Code
07:32 - 2 minutes
-----------------------------------------
07:54 - Test Input Data Type
09:12 - Test Return Output
10:16 - Test Input and Output Length
11:45 - Test Input different from Output
14:28 - Test Output Data Type
15:46 - Test Caesars Cipher
20:40 - Test More Inputs
23:10 - Challenge for you!
23:50 - How to share your code via Wayscript
25:09 - Thanks for watching! :)

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

🎯 Sources 🎯
--------------------------------------
⭐ Python unittest Documentation:
       https://docs.python.org/3/library/unittest.html
⭐ Professionalism and Test-Driven Development by Robert C. Martin:
       https://ieeexplore.ieee.org/document/4163026

💳 Credits 💳
----------------------
⭐ Beautiful animated graphics by:
       mixkit.co
⭐ Beautiful icons by:
       flaticon.com",,2022-11-08T15:30:10Z,40523,1353,,109,PT25M33S,hd,true
YfZqVmWq33o,Python Simplified,Ready for a Spooky Halloween! #shorts  #halloween #pumpkin,,,2022-10-31T15:55:46Z,1561,65,,6,PT14S,hd,false
o2FVs7DEP0c,Python Simplified,Hangout Stream - What's New? What I'm Working On? Ask me anything!,"Folks, it's been a while! In this stream I will tell you where I've been, what I'm currently working on and answering your questions - whatever they may be! :)

I'm mostly testing to see how many of you are available in the afternoons (compared to my morning streams).
I'm aiming to set a specific day and time for a weekly stream - your advice will be highly appreciated! 

Also, I wasted to ask you what you think about me starting a membership program on YouTube - are you members of other channels already? do you find it adds some interesting value to your YouTube experience?
I'm generally staying away from paid content, I find it frustrating when only some of the audience gets access to certain videos - but that's just me! what do you think? are we on the same page or do you think I'm being silly? 😅

If you have any interesting questions - please leave them in the chat ahead of the stream, no particular topic - anything you'd like to ask, it's just a hangout stream rather than an informative super educational session 😉",,2022-10-22T11:42:18Z,4604,250,,18,PT1H35M57S,hd,false
wmalqABbkXU,Python Simplified,Get Dynamic Bitcoin Data in REAL TIME with Python - Intro to Deephaven - LINUX OS!!!,"Today we will find a SIMPLE solution to one of the most complex data science problems - working with real-time dynamic live-streaming data! 
We will learn how to fetch data directly from the Coinbase cryptocurrency exchange, we will then manipulate it, reconstruct it and even plot it! (YES! a graph that keeps MOVING CONSTANTLY as new data comes in and updated within microseconds! 😱😱😱)
And the best part is - no need to have any prior experience with web sockets or setting up your own server! 🤩

If you're wondering how it's even possible - allow me to introduce you to Deephaven! A very powerful open-core framework that made this entire process 100% beginner friendly!
Find out more on Github:  https://github.com/deephaven
(Especially if you'd like to contribute to their open-source project 😉)

Or alternatively you can checkout their website for more info:
https://deephaven.io/

⏰ TIMESTAMPS ⏰
--------------------------------------
00:00 - intro
00:55 - install Deephaven and dependencies
04:12 - quickhook vs setting up your own websocket
04:50 - Coinbase data stream overview
05:25 - basic data manipulation (drop columns)
07:04 - split data (filter rows of interest)
08:18 - highlight large volume transactions
11:31 - plot dynamic data
15:31 - extract new data features
23:00 - next steps
24:10 - thanks for watching! :)

🎥 MORE DATA SCIENCE TUTORIALS OF MINE 🎥
---------------------------------------------------------------
⭐ Pandas Basics:
       https://youtu.be/zN2Hua6oII0
⭐ Line Graph with Pandas:
       https://youtu.be/P4F3PzCMrtk
⭐ Plot Graphs with Matplotlib:
       https://youtu.be/MJ1945J_W0c

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

💳 Credits 💳
----------------------
⭐ Beautiful animated graphics by:
       mixkit.co
⭐ Beautiful icons by:
      flaticon.com",,2022-10-19T15:00:10Z,12820,659,,88,PT24M42S,hd,true
080kzsRv5UI,Python Simplified,Streaming Real Time Crypto Data Like a Pro with NO PRIOR EXPERIANCE 😱 #crypto #python #data,,,2022-10-18T19:19:48Z,6691,,,37,PT37S,hd,false
tZ1znMV-aXY,Python Simplified,Are you ready to apply for tech jobs? featuring Prakash from GeeksforGeeks,"In today's stream, Prakash and I will discuss the greatest question that every self-taught developer is facing - when are you ready to start applying for jobs in the tech industry? 🤔🤔🤔
Where do you draw the line between just learning programming and becoming a junior developer? can you get your first job opportunity without academic credentials? and most importantly - how many projects a solid portfolio should have? what type of projects?

I've invited my friends from GeeksforGeeks to help you answer all these questions and much much more! 
To those of you who are new to programming - GeeksforGeeks is a very popular computer science portal that covers almost any programming language you can think of. They provide well-written tutorials, online courses, interactive exercises and even connect talented developers with potential employers 😱

Make sure to check them out, if you haven't already:😉https://www.geeksforgeeks.org/

Also, do you have an inspiring story of how you got your first job in the tech industry? Do you have some tips for aspiring developers? Please tune in to share your experience in the chat, and who knows? maybe your input will motivate and help many others on their journey 😀

🤝 Connect with Prakash 🤝
--------------------------------------
linkedin.com/in/prakashsakari

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org","['programing', 'programming', 'coding', 'tech', 'techjobs', 'findjobs', 'apply', 'learnprogramming', 'jobsearch', 'technology', 'careers', 'socialnetworking', 'motivation', 'personaldevelopment', 'jobinterviews', 'personalbranding', 'education', 'bestadvice', 'python', 'pythonprogramming', 'softwaredesign', 'networking', 'hiring', 'jobseekers', 'recruiting', 'job']",2022-09-22T04:02:51Z,6946,321,,13,PT58M33S,hd,false
gKrRr8T6i08,Python Simplified,RTX 40 Series IS HERE! Specs are INSANE! All Hail Ada Lovelace! #rtx #nvidia #announcement #shorts,,,2022-09-20T19:06:16Z,14469,,,26,PT27S,hd,false
uDnm7nlodDk,Python Simplified,Software Design and Development - What I Learned So Far - Exam Practice,"In this stream I will share the (simplified) highlights of one of my favorite computer science courses - SOFTWARE DESIGN AND DEVELOPMENT 🤩🤩🤩
We will talk about a great set of practices that will take your programming skills to the next level! I will also share some free useful resources to get you up to speed.

So in this stream we will see how to reason about software components (such as modules), the strength of relationship between them, what security considerations we should keep in mind and how can we test and analyze our programs.

You can view my slides here: https://pitch.com/public/0746a3ca-e26e-4955-a204-7e15d2fa616b

Also - I'm excited to announce a brand new Discord server that our very own Josh and Badger just opened up! 
Come say Hi at TreehouseClub: https://discord.gg/d9kS5KFq5w
We're having conversations about all the topics in the world! gaming, cooking, design, 3d printing and anything else the floats your boat! see you there 😉

And lastly - will share a proper demo of the Vaporwave It sound and Audio application which won the recent code jam (we had technical difficulties in the last stream). Check out the project repository: https://github.com/audio-mixer/mixer-web 
And the live app: https://vaporwave-it.up.railway.app/

🤝 Connect 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org",,2022-09-05T19:19:53Z,12776,544,,21,PT1H44M6S,hd,false
7Iv6MRRdw5E,Python Simplified,this smiling dog will make your day! #shorts #funnydogs #dog #dogs,,,2022-08-27T21:14:52Z,3826,,,15,PT13S,hd,false
HjZ2xfRwHGI,Python Simplified,"Code Jam Winners and Social Media Ethics Featuring Badger, Persistent and Tom","You've seen them many times in live-chats, in the comments section and of course in our Discord community! Today you will finally meet them in real-time!!! 😃
Very excited to introduce you to Badger, Persistent and Tom representing my AMAZING team of mods! (Splaud is busy and Siam's microphone makes him sound like an alien 👽 but we'll make sure they join us in future streams)

We have 2 VERY IMPORTANT MISSIONS TODAY -
⭐ Announcing the winning team of our Sound and Audio Code Jam
⭐ Discussing the mess behind the Twitter deal, the recent whistleblower testimony and what it means in terms of the number of bots on the platform.

If you'd like to see more streams of this kind, please don't forget to like, comment and share as this is the best way to let us know you are enjoying what we do! 😃

 🖇️ SOURCES 🖇️
⭐Simple Music Player: https://github.com/diwacreation3/music
⭐KakaduFM: https://github.com/morgor/KakaduFM
⭐VaporWave It: https://github.com/audio-mixer/mixer-web
⭐Screen Reader: https://github.com/kopa7967/Screen-Reader

 🖇️ NEWS ARTICLE SOURCE 🖇️
https://www.theepochtimes.com/whistleblower-says-twitter-lied-to-musk-about-spam-bots-with-possible-implications-for-trial_4682624.html

🤝 Connect 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org",,2022-08-27T06:43:51Z,3630,167,,5,PT1H9M10S,hd,false
